Occupation,Count
8127 Printing machine assistants,"12,843"
8129 Plant and machine operatives n.e.c.,"41,943"
8131 Assemblers (electrical and electronic products),"27,708"
8132 Assemblers (vehicles and metal goods),"35,267"
8133 Routine inspectors and testers,"54,247"
"8134 Weighers, graders and sorters","6,876"
"8135 Tyre, exhaust and windscreen fitters","13,994"
8137 Sewing machinists,"29,823"
8139 Assemblers and routine operatives n.e.c.,"40,079"
"8141 Scaffolders, stagers and riggers","27,751"
8142 Road construction operatives,"20,881"
8143 Rail construction and maintenance operatives,"7,397"
8149 Construction operatives n.e.c.,"109,766"
8211 Large goods vehicle drivers,"233,861"
8212 Van drivers,"259,161"
8213 Bus and coach drivers,"127,518"
8214 Taxi and cab drivers and chauffeurs,"174,780"
8215 Driving instructors,"31,303"
8221 Crane drivers,"9,560"
8222 Fork-lift truck drivers,"62,166"
8223 Agricultural machinery drivers,"2,910"
8229 Mobile machine drivers and operatives n.e.c.,"46,874"
8231 Train and tram drivers,"20,210"
8232 Marine and waterways transport operatives,"7,509"
8233 Air transport operatives,"12,214"
8234 Rail transport operatives,"18,186"
8239 Other drivers and transport operatives n.e.c.,"13,350"
9111 Farm workers,"44,830"
9112 Forestry workers,"8,228"
9119 Fishing and other elementary agriculture occupations n.e.c.,"19,750"
9120 Elementary construction occupations,"137,055"
9132 Industrial cleaning process occupations,"19,621"
"9134 Packers, bottlers, canners and fillers","101,272"
9139 Elementary process plant occupations n.e.c.,"125,588"
"9211 Postal workers, mail sorters, messengers and couriers","183,496"
9219 Elementary administration occupations n.e.c.,"49,173"
9231 Window cleaners,"29,767"
9232 Street cleaners,"10,860"
9233 Cleaners and domestics,"562,177"
"9234 Launderers, dry cleaners and pressers","35,071"
9235 Refuse and salvage occupations,"36,258"
9236 Vehicle valeters and cleaners,"27,067"
9239 Elementary cleaning occupations n.e.c.,"2,292"
9241 Security guards and related occupations,"170,445"
9242 Parking and civil enforcement occupations,"14,234"
9244 School midday and crossing patrol occupations,"95,819"
9249 Elementary security occupations n.e.c.,"20,615"
9251 Shelf fillers,"80,604"
9259 Elementary sales occupations n.e.c.,"16,837"
9260 Elementary storage occupations,"404,163"
9271 Hospital porters,"14,290"
9272 Kitchen and catering assistants,"346,494"
9273 Waiters and waitresses,"202,188"
9274 Bar staff,"176,402"
9275 Leisure and theme park attendants,"17,606"
9279 Other elementary services occupations n.e.c.,"23,165"
